Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\MotorValley.Backend.csproj,,,Microsoft.EntityFrameworkCore 8.0.10,,,,,"Microsoft.EntityFrameworkCore, 8.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\MotorValley.Backend.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.10,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.12"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\MotorValley.Backend.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.10,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.12"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\MotorValley.Backend.csproj,,,Microsoft.Azure.SignalR 1.28.0,,,,,"Microsoft.Azure.SignalR, 1.28.0  Recommendation:  The Microsoft.Azure.SignalR SDK v1.33.1 upgrades several dependencies to address known security vulnerabilities in earlier versions. Older SDK versions rely on these outdated components and may expose users to potential security risks. To ensure a secure default experience, all previous versions are marked as deprecated. Remove Microsoft.Azure.SignalR, and replace with new package Microsoft.Azure.SignalR, 1.33.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\MotorValley.Backend.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\RedisCacheService.cs,26,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _db.StringSetAsync(key, json, expiry ?? TimeSpan.FromMinutes(5));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\InMemoryCacheService.cs,33,8,M:System.TimeSpan.FromMinutes(System.Double),,,,,var expiresAt = DateTimeOffset.UtcNow.Add(expiry ?? TimeSpan.FromMinutes(5));
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\AlertIngestionService.cs,56,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cache.SetAsync(""motorvalley:latest-status"", latest, TimeSpan.FromMinutes(5), ct);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\AlertConsumerWorker.cs,100,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(5), stoppingToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\AlertConsumerWorker.cs,95,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(5), stoppingToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Services\AlertConsumerWorker.cs,88,24,M:System.TimeSpan.FromSeconds(System.Double),,,,,"await Task.Delay(TimeSpan.FromSeconds(2), stoppingToken);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,MotorValley.Backend\MotorValley.Backend.csproj,File,MotorValley.Backend\Controllers\AlertsController.cs,43,12,M:System.TimeSpan.FromMinutes(System.Double),,,,,"await _cache.SetAsync(cacheKey, status, TimeSpan.FromMinutes(5), ct);"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,MotorValley.Tests\MotorValley.Tests.csproj,File,MotorValley.Tests\MotorValley.Tests.csproj,,,Microsoft.EntityFrameworkCore.InMemory 8.0.10,,,,,"Microsoft.EntityFrameworkCore.InMemory, 8.0.10  Recommendation:  Remove Microsoft.EntityFrameworkCore.InMemory, and replace with new package Microsoft.EntityFrameworkCore.InMemory 10.0.12"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,MotorValley.Tests\MotorValley.Tests.csproj,File,MotorValley.Tests\MotorValley.Tests.csproj,,,xunit 2.9.2,,,,,"xunit, 2.9.2  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,MotorValley.Tests\MotorValley.Tests.csproj,File,MotorValley.Tests\MotorValley.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
